epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,1938.19,0.62491,0.49758,1.10145,0.74153,0.65126,0.73934,0.5693,0.82199,0.67752,1.40507,0.008581,0.008581,0.008581
45,1981.67,0.61326,0.49395,1.09345,0.67806,0.66597,0.73568,0.57886,0.84412,0.72647,1.40861,0.008548,0.008548,0.008548
46,2025.42,0.61803,0.49103,1.09721,0.7697,0.62552,0.75199,0.5845,0.85195,0.65079,1.41416,0.008515,0.008515,0.008515
47,2069.08,0.61828,0.48645,1.09431,0.65633,0.69157,0.71142,0.56018,0.8645,0.73999,1.44163,0.008482,0.008482,0.008482
48,2112.74,0.6068,0.47448,1.09363,0.70851,0.74183,0.75966,0.58856,0.81461,0.62402,1.38982,0.008449,0.008449,0.008449
49,2156.08,0.60556,0.47812,1.08925,0.65329,0.6475,0.69525,0.56889,0.78841,0.73436,1.34412,0.008416,0.008416,0.008416
50,2199.68,0.60386,0.47512,1.09149,0.62958,0.6857,0.7154,0.55474,0.81889,0.76044,1.39114,0.008383,0.008383,0.008383
51,2243.21,0.59918,0.46926,1.08469,0.62159,0.66359,0.6846,0.54253,0.85648,0.78385,1.43299,0.00835,0.00835,0.00835
52,2286.73,0.59883,0.46444,1.08425,0.65701,0.65092,0.70967,0.57557,0.81209,0.66274,1.3778,0.008317,0.008317,0.008317
53,2330.05,0.60503,0.47228,1.08257,0.67693,0.59946,0.69365,0.54875,0.82214,0.69302,1.41547,0.008284,0.008284,0.008284
54,2373.45,0.60138,0.46955,1.08324,0.6331,0.66264,0.7038,0.55686,0.87346,0.67836,1.45191,0.008251,0.008251,0.008251
55,2417.1,0.59731,0.46662,1.08559,0.70154,0.60295,0.7009,0.56357,0.86208,0.68363,1.42511,0.008218,0.008218,0.008218
56,2460.94,0.59848,0.46452,1.08348,0.62029,0.68526,0.7257,0.56893,0.83291,0.7947,1.40686,0.008185,0.008185,0.008185
57,2504.5,0.59516,0.46323,1.08482,0.65833,0.63424,0.71851,0.56506,0.82385,0.70014,1.39196,0.008152,0.008152,0.008152
58,2548.24,0.5882,0.45732,1.07975,0.70505,0.6577,0.72064,0.56217,0.80967,0.6355,1.37968,0.008119,0.008119,0.008119
59,2591.78,0.58894,0.45718,1.07636,0.6575,0.69271,0.71097,0.56488,0.81247,0.65495,1.37295,0.008086,0.008086,0.008086
60,2635.55,0.59144,0.45442,1.07697,0.73676,0.68336,0.75511,0.57463,0.84015,0.66088,1.41918,0.008053,0.008053,0.008053
61,2679.38,0.58573,0.45934,1.07454,0.60917,0.73112,0.69357,0.56371,0.84581,0.71716,1.41701,0.00802,0.00802,0.00802
62,2723,0.58169,0.45079,1.07094,0.63317,0.71266,0.68523,0.55084,0.79404,0.71844,1.37114,0.007987,0.007987,0.007987
63,2766.67,0.58094,0.45199,1.07093,0.65516,0.74792,0.73896,0.5831,0.8167,0.69716,1.39925,0.007954,0.007954,0.007954
64,2810.23,0.58132,0.44714,1.07464,0.67029,0.68419,0.72308,0.56876,0.82904,0.69894,1.40987,0.007921,0.007921,0.007921
65,2853.72,0.58437,0.45776,1.08034,0.65304,0.64017,0.70616,0.56724,0.81851,0.6586,1.37929,0.007888,0.007888,0.007888
66,2897.15,0.58275,0.44684,1.07741,0.64078,0.72491,0.7254,0.57317,0.83761,0.64402,1.41441,0.007855,0.007855,0.007855
67,2940.52,0.57997,0.44174,1.07288,0.62748,0.69373,0.72863,0.57126,0.80743,0.71077,1.37469,0.007822,0.007822,0.007822
68,2984.3,0.57982,0.44155,1.0671,0.65811,0.69874,0.74597,0.58103,0.78882,0.6562,1.34999,0.007789,0.007789,0.007789
69,3027.95,0.57303,0.43912,1.06979,0.72406,0.67605,0.74855,0.59174,0.82197,0.65193,1.39335,0.007756,0.007756,0.007756
70,3071.68,0.57057,0.43558,1.06783,0.65862,0.67264,0.71113,0.58014,0.81365,0.64482,1.38764,0.007723,0.007723,0.007723
71,3115.05,0.57445,0.44309,1.06932,0.65189,0.67828,0.70057,0.56358,0.81986,0.62568,1.39351,0.00769,0.00769,0.00769
72,3158.89,0.57429,0.43383,1.0647,0.67779,0.67581,0.72746,0.57793,0.82197,0.63547,1.3916,0.007657,0.007657,0.007657
73,3202.62,0.57338,0.44436,1.06983,0.71388,0.66112,0.72352,0.57046,0.82319,0.63927,1.3898,0.007624,0.007624,0.007624
74,3246.56,0.56338,0.43066,1.0593,0.72064,0.64517,0.718,0.57141,0.79921,0.65485,1.378,0.007591,0.007591,0.007591
75,3290.2,0.56621,0.42826,1.06573,0.67202,0.66728,0.73788,0.57176,0.8119,0.68737,1.3894,0.007558,0.007558,0.007558
76,3333.84,0.56178,0.42906,1.06233,0.70005,0.62804,0.72502,0.57194,0.80941,0.69104,1.38377,0.007525,0.007525,0.007525
77,3377.53,0.56496,0.43369,1.06336,0.63393,0.70706,0.71013,0.57015,0.80212,0.67912,1.36821,0.007492,0.007492,0.007492
78,3421.3,0.56019,0.4213,1.05839,0.71676,0.613,0.71743,0.57778,0.79735,0.64995,1.36172,0.007459,0.007459,0.007459
79,3465.05,0.56311,0.42429,1.05811,0.68622,0.6752,0.71813,0.58251,0.80661,0.66494,1.37548,0.007426,0.007426,0.007426
80,3508.62,0.55407,0.41923,1.0612,0.66106,0.66021,0.70945,0.57395,0.79654,0.65997,1.36706,0.007393,0.007393,0.007393
81,3552.31,0.55439,0.41649,1.06053,0.6589,0.65822,0.7168,0.5773,0.80152,0.6917,1.38075,0.00736,0.00736,0.00736
82,3596.22,0.55207,0.42722,1.05812,0.68483,0.60455,0.70849,0.57079,0.8009,0.67596,1.37543,0.007327,0.007327,0.007327
83,3639.91,0.55979,0.42063,1.05931,0.69859,0.6068,0.70467,0.5759,0.80112,0.66634,1.37288,0.007294,0.007294,0.007294
84,3683.7,0.55311,0.4175,1.0543,0.63575,0.62323,0.68731,0.56577,0.79615,0.72367,1.36852,0.007261,0.007261,0.007261
85,3727.23,0.54728,0.41261,1.0527,0.67783,0.6256,0.697,0.56886,0.79433,0.69057,1.36716,0.007228,0.007228,0.007228
86,3771.25,0.54596,0.41471,1.0537,0.64445,0.701,0.71327,0.57141,0.79719,0.66361,1.37488,0.007195,0.007195,0.007195
87,3814.88,0.5571,0.40911,1.05727,0.67,0.65364,0.70571,0.56955,0.81576,0.64636,1.4042,0.007162,0.007162,0.007162
88,3858.7,0.55354,0.41291,1.05676,0.66422,0.67016,0.71315,0.57556,0.82266,0.65734,1.40521,0.007129,0.007129,0.007129
89,3902.3,0.55007,0.41404,1.05462,0.65898,0.66031,0.71769,0.57558,0.82875,0.69532,1.40962,0.007096,0.007096,0.007096
90,3946.01,0.5474,0.4035,1.05521,0.65549,0.6649,0.72774,0.58636,0.81798,0.72379,1.39319,0.007063,0.007063,0.007063
91,3989.71,0.543,0.40563,1.04822,0.63177,0.71264,0.72137,0.58006,0.80924,0.7175,1.38849,0.00703,0.00703,0.00703
92,4033.33,0.54857,0.41364,1.04937,0.68186,0.65339,0.72539,0.58382,0.80688,0.70881,1.38177,0.006997,0.006997,0.006997
93,4076.93,0.54658,0.4068,1.0526,0.69648,0.67675,0.73048,0.58374,0.80776,0.67071,1.38312,0.006964,0.006964,0.006964
94,4120.68,0.54271,0.40751,1.05044,0.68978,0.65918,0.7248,0.58319,0.80089,0.64871,1.38017,0.006931,0.006931,0.006931
95,4164.59,0.53788,0.39803,1.04658,0.68004,0.64806,0.71886,0.57965,0.79791,0.6704,1.37365,0.006898,0.006898,0.006898
96,4208.13,0.5395,0.39981,1.04851,0.6921,0.64537,0.71216,0.57695,0.8005,0.67202,1.37779,0.006865,0.006865,0.006865
97,4251.88,0.54154,0.40308,1.04801,0.71849,0.63769,0.70587,0.57319,0.8078,0.67227,1.38766,0.006832,0.006832,0.006832
98,4295.76,0.53452,0.40168,1.04416,0.67604,0.64323,0.70192,0.57017,0.80868,0.65889,1.38941,0.006799,0.006799,0.006799
99,4339.77,0.53908,0.39654,1.04673,0.66992,0.63912,0.69844,0.57299,0.8019,0.64117,1.38218,0.006766,0.006766,0.006766
100,4383.38,0.53385,0.39692,1.04317,0.6832,0.65431,0.70363,0.57567,0.80515,0.64861,1.38381,0.006733,0.006733,0.006733
101,4427.17,0.53598,0.40841,1.04472,0.67824,0.64807,0.70761,0.57851,0.79744,0.65064,1.37909,0.0067,0.0067,0.0067
102,4470.6,0.53422,0.42373,1.04673,0.68393,0.63471,0.71117,0.57674,0.80388,0.65181,1.38735,0.006667,0.006667,0.006667
103,4514.42,0.54087,0.39926,1.04571,0.71657,0.63453,0.70988,0.5745,0.809,0.64965,1.39731,0.006634,0.006634,0.006634
104,4558.11,0.52761,0.3882,1.04202,0.71101,0.6416,0.70879,0.57532,0.81326,0.64969,1.40186,0.006601,0.006601,0.006601
